Name,P4 - Re,P6 - Ob_pos (m) ,P7 - Ob_H (m) ,P1 - Delta Cp,P8 - DSP (Pa) ,P10 - USP (Pa) 
88,1000,0.21430140309721976,0.49999987107907395,9.32302,1.25227,5.91378
89,300,0.9999999995600708,0.4999999849318067,13.7798,3.61421,10.5041
90,400,0.99999998280645908,0.49999997371306781,12.4245,2.75205,8.96429
91,500,0.99999994770835277,0.49999986776569688,11.5628,2.22206,8.00344
92,600,0.99999992730067411,0.49999988244037785,10.9561,1.88971,7.36774
93,700,0.99999998143200619,0.49999999982751175,10.5057,1.64455,6.89738
94,800,0.999999894089234,0.49999986159385468,10.1492,1.4685,6.54309
95,900,0.99999964002694774,0.49999955140754537,9.86467,1.33559,6.26792
96,1000,0.9999999626843864,0.49999956446576044,9.62857,1.22327,6.03756
97,300,0.21750546100957593,0.32961601569857957,12.6465,3.67786,10.0011
98,400,0.21641941955255367,0.33646006126517514,11.4216,2.83308,8.54388
99,500,0.21448950902642466,0.33901869197517481,10.6421,2.34144,7.6625
100,600,0.2115842403922851,0.34244061122413749,10.0946,2.00589,7.05319
101,700,0.20965152998435305,0.34773368591855069,9.67307,1.76176,6.59829
102,800,0.2013680259897494,0.35125139815331569,9.35743,1.5907,6.26941
103,900,0.20022734092549604,0.34978348756814109,9.11166,1.44659,6.00242
104,1000,0.20391771313626986,0.35187170382724409,8.88798,1.33624,5.78023
105,300,0.21790621591928377,0.36160224581862865,12.5882,3.67657,9.97065
106,400,0.21475468070126608,0.35736820140005038,11.378,2.83599,8.52501
107,500,0.21230588019251873,0.356091092500443,10.6017,2.34633,7.64717
108,600,0.21068832532265142,0.35605887759288085,10.0544,2.01402,7.04121
109,700,0.20883380860952969,0.35741937877039132,9.64271,1.76903,6.59039
110,800,0.20803269085980824,0.35774094564728964,9.32331,1.59622,6.25787
111,900,0.20808700113684864,0.35962821660309208,9.05935,1.45586,5.98553
112,1000,0.20809513085622827,0.35825528093024012,8.85261,1.34622,5.77253
