
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-5.72627449e+00, 1.37832612e-01, 0.00000000e+00, 2.52891636e+00, 9.48890507e-01, -8.28367833e-04
-5.35295725e+00, 1.73649624e-01, 0.00000000e+00, 2.52436018e+00, 1.14512908e+00, -8.32739985e-04
-5.83225870e+00, 1.44542381e-01, 0.00000000e+00, 2.53003311e+00, 9.86783743e-01, -7.15211558e-04
-5.84389067e+00, 1.96989700e-01, 0.00000000e+00, 2.53085852e+00, 1.26616228e+00, 1.87586673e-04
-5.95593548e+00, 1.62297383e-01, 0.00000000e+00, 2.53297997e+00, 1.08684158e+00, -1.56505499e-03
-5.85235500e+00, 9.46165547e-02, 0.00000000e+00, 2.53032970e+00, 6.98725104e-01, -8.52245372e-04
-5.87530899e+00, 1.28545001e-01, 0.00000000e+00, 2.53043056e+00, 8.96855235e-01, -8.61810753e-04
-5.70031786e+00, 1.80138499e-01, 0.00000000e+00, 2.52843499e+00, 1.17858088e+00, -7.83845549e-04
-5.79824018e+00, 1.87700674e-01, 0.00000000e+00, 2.53039694e+00, 1.21828544e+00, -4.23234771e-04
-5.90240574e+00, 9.50937569e-02, 0.00000000e+00, 2.53185725e+00, 7.02764511e-01, -1.27628073e-03
-4.09910488e+00, 1.64323762e-01, 0.00000000e+00, 2.50711632e+00, 1.09508193e+00, -1.66862516e-03
-6.00000000e+00, 9.60242599e-02, 0.00000000e+00, 2.53059959e+00, 6.94529712e-01, -1.10061592e-04
-6.00000000e+00, 1.41684070e-01, 0.00000000e+00, 2.53370166e+00, 9.71921682e-01, -1.46217970e-03
-5.95235538e+00, 9.55699980e-02, 0.00000000e+00, 2.53128529e+00, 7.13782728e-01, -1.83285191e-03
-3.94687295e+00, 1.62688270e-01, 0.00000000e+00, 2.50519681e+00, 1.08665562e+00, -1.66721211e-03
-3.89652944e+00, 1.62100866e-01, 0.00000000e+00, 2.50445008e+00, 1.08364356e+00, -1.71957491e-03
-4.04808331e+00, 1.63955420e-01, 0.00000000e+00, 2.50648999e+00, 1.09326267e+00, -1.62085111e-03
-6.00000000e+00, 1.89634159e-01, 0.00000000e+00, 2.53784895e+00, 1.22962356e+00, -6.85971696e-04
-3.09855437e+00, 6.83606714e-02, 0.00000000e+00, 2.49159646e+00, 5.73707581e-01, -1.59529375e-03
-3.14862347e+00, 6.88380525e-02, 0.00000000e+00, 2.49251246e+00, 5.75392187e-01, -1.55876274e-03
-3.12237239e+00, 1.12026066e-01, 0.00000000e+00, 2.49211621e+00, 8.13037038e-01, -2.29924708e-03
