"step","downstreamPressureDiff_DP113_670_0.91999999999999993_0.3025"
187000.0,-0.30469298362731934
188000.0,-0.31177425384521484
189000.0,-0.31228744983673096
190000.0,-0.31412458419799805
191000.0,-0.31326377391815186
192000.0,-0.3138461112976074
193000.0,-0.31052565574645996
194000.0,-0.3143573999404907
195000.0,-0.31650543212890625
196000.0,-0.30814123153686523
197000.0,-0.32821857929229736
198000.0,-0.32819485664367676
199000.0,-0.32613086700439453
200000.0,-0.32353639602661133
201000.0,-0.32225918769836426
202000.0,-0.3266746997833252
203000.0,-0.32586848735809326
204000.0,-0.32889556884765625
205000.0,-0.3313901424407959
206000.0,-0.31973934173583984
207000.0,-0.32737278938293457
208000.0,-0.3234391212463379
209000.0,-0.3286447525024414
210000.0,-0.3285776376724243
211000.0,-0.3318558931350708
212000.0,-0.33101725578308105
213000.0,-0.3257725238800049
