
[Name]
center

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Total Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity v [ m s^-1 ]
-1.93525445e+00, 5.72692864e-02, 0.00000000e+00, 2.45386648e+00, 2.59179592e+00, 5.25221765e-01, -9.81676159e-04
-1.96517181e+00, 5.75545281e-02, 0.00000000e+00, 2.45599699e+00, 2.59530807e+00, 5.27846038e-01, -9.66954743e-04
-1.94875085e+00, 8.34627375e-02, 0.00000000e+00, 2.45464492e+00, 2.69240546e+00, 6.89577878e-01, -1.77961332e-03
-1.96155584e+00, 1.09650731e-01, 0.00000000e+00, 2.45552611e+00, 2.80912757e+00, 8.40944052e-01, -4.00576461e-03
-1.93290520e+00, 1.08529665e-01, 0.00000000e+00, 2.45376563e+00, 2.80446982e+00, 8.37491035e-01, -4.19158582e-03
-1.72463644e+00, 1.05606928e-01, 0.00000000e+00, 2.43853712e+00, 2.79471231e+00, 8.43974650e-01, -7.55818794e-03
-1.69480455e+00, 1.05264626e-01, 0.00000000e+00, 2.43616080e+00, 2.79377890e+00, 8.45677078e-01, -8.16746987e-03
-1.50120902e+00, 7.82727003e-02, 0.00000000e+00, 2.41878223e+00, 2.66653609e+00, 7.03871608e-01, -8.52152333e-03
-1.53107512e+00, 7.85386115e-02, 0.00000000e+00, 2.42162871e+00, 2.66745734e+00, 7.01137245e-01, -7.98090454e-03
-1.51586890e+00, 1.03501879e-01, 0.00000000e+00, 2.42060041e+00, 2.79127216e+00, 8.60926092e-01, -1.22392569e-02
-1.47133410e+00, 7.79997110e-02, 0.00000000e+00, 2.41583300e+00, 2.66566539e+00, 7.06811786e-01, -9.07275546e-03
-1.48649418e+00, 5.29906154e-02, 0.00000000e+00, 2.41714883e+00, 2.55831480e+00, 5.31324744e-01, -5.07416064e-03
-1.51641154e+00, 5.32758608e-02, 0.00000000e+00, 2.42005229e+00, 2.56005764e+00, 5.29139280e-01, -4.74778656e-03
-1.54632890e+00, 5.35611063e-02, 0.00000000e+00, 2.42285824e+00, 2.56184578e+00, 5.27214706e-01, -4.42474056e-03
-1.57624626e+00, 5.38463518e-02, 0.00000000e+00, 2.42557645e+00, 2.56368804e+00, 5.25553167e-01, -4.10439447e-03
-1.56094229e+00, 7.88137168e-02, 0.00000000e+00, 2.42438364e+00, 2.66850257e+00, 6.98700368e-01, -7.45160598e-03
-1.57550454e+00, 1.04044706e-01, 0.00000000e+00, 2.42608237e+00, 2.79152465e+00, 8.54849398e-01, -1.08006932e-02
-1.54568577e+00, 1.03766501e-01, 0.00000000e+00, 2.42338443e+00, 2.79131341e+00, 8.57744217e-01, -1.15088485e-02
-1.66497862e+00, 1.04936332e-01, 0.00000000e+00, 2.43373346e+00, 2.79298043e+00, 8.47594678e-01, -8.79615545e-03
-1.68042660e+00, 7.99749866e-02, 0.00000000e+00, 2.43464518e+00, 2.67373514e+00, 6.91484392e-01, -5.42028574e-03
-1.84397638e+00, 1.07145898e-01, 0.00000000e+00, 2.44759417e+00, 2.79971170e+00, 8.39170039e-01, -5.38823428e-03
-2.02340913e+00, 1.20052412e-01, 0.00000000e+00, 2.45925641e+00, 2.85895586e+00, 8.94078791e-01, -4.69897315e-03
-2.39758706e+00, 6.16773553e-02, 0.00000000e+00, 2.47509861e+00, 2.62772727e+00, 5.52497447e-01, -2.01029005e-03
-2.42272425e+00, 1.03477739e-01, 0.00000000e+00, 2.47587347e+00, 2.78032923e+00, 7.80321479e-01, -3.15307220e-03
-1.74017394e+00, 8.06007907e-02, 0.00000000e+00, 2.43942404e+00, 2.67698741e+00, 6.89280093e-01, -4.45126556e-03
-2.44765615e+00, 6.21547364e-02, 0.00000000e+00, 2.47668767e+00, 2.63031721e+00, 5.54306090e-01, -2.03180010e-03
-1.90351784e+00, 1.07999712e-01, 0.00000000e+00, 2.45180488e+00, 2.80260348e+00, 8.37601483e-01, -4.54185391e-03
-1.91921496e+00, 8.27425867e-02, 0.00000000e+00, 2.45265388e+00, 2.68902040e+00, 6.87553048e-01, -1.97529839e-03
-2.47233152e+00, 1.04535758e-01, 0.00000000e+00, 2.47741342e+00, 2.78521895e+00, 7.84602165e-01, -3.18240281e-03
-2.49772525e+00, 6.26321137e-02, 0.00000000e+00, 2.47817588e+00, 2.63274336e+00, 5.55995107e-01, -2.04461999e-03
-2.52211308e+00, 1.05486885e-01, 0.00000000e+00, 2.47887039e+00, 2.78964305e+00, 7.88375020e-01, -3.19025433e-03
