
[Name]
Plane P1

[Data]
X [ m ], Y [ m ], Z [ m ], Area [ m^2 ], Pressure [ Pa ], Total Pressure [ Pa ]
-2.00000000e+00, 6.97780907e-01, -1.99999996e-02, 2.49793520e-04, 9.15176582e+00, 1.05664911e+01
-2.00000000e+00, 7.11024523e-01, 1.99999996e-02, 2.79483211e-04, 9.15201950e+00, 1.04912186e+01
-2.00000000e+00, 7.11024523e-01, -1.99999996e-02, 2.79483211e-04, 9.15201950e+00, 1.04912186e+01
-2.00000000e+00, 7.25729167e-01, 1.99999996e-02, 3.62571474e-04, 9.15215015e+00, 1.04073191e+01
-2.00000000e+00, 7.25729167e-01, -1.99999996e-02, 3.62571474e-04, 9.15215015e+00, 1.04073191e+01
-2.00000000e+00, 7.53915370e-01, -1.99999996e-02, 1.01823207e-04, 9.15241718e+00, 1.02372808e+01
-2.00000000e+00, 7.53915370e-01, 1.99999996e-02, 1.01823207e-04, 9.15241718e+00, 1.02372808e+01
-2.00000000e+00, 7.47281671e-01, 1.99999996e-02, 2.81862624e-04, 9.15238667e+00, 1.02772532e+01
-2.00000000e+00, 7.47281671e-01, -1.99999996e-02, 2.81862624e-04, 9.15238667e+00, 1.02772532e+01
-2.00000000e+00, 7.57464051e-01, 1.99999996e-02, 2.80538807e-04, 9.15246296e+00, 1.02153673e+01
-2.00000000e+00, 7.57464051e-01, -1.99999996e-02, 2.80538807e-04, 9.15246296e+00, 1.02153673e+01
-2.00000000e+00, 7.81969309e-01, 1.99999996e-02, 3.75052070e-04, 9.15244961e+00, 1.00634480e+01
-2.00000000e+00, 7.81969309e-01, -1.99999996e-02, 3.75052070e-04, 9.15244961e+00, 1.00634480e+01
-2.00000000e+00, 7.94969201e-01, 1.99999996e-02, 2.59393448e-04, 9.15250206e+00, 9.98266220e+00
-2.00000000e+00, 7.94969201e-01, -1.99999996e-02, 2.59393448e-04, 9.15250206e+00, 9.98266220e+00
-2.00000000e+00, 8.07908654e-01, -1.99999996e-02, 2.59175285e-04, 9.15254784e+00, 9.90284634e+00
-2.00000000e+00, 8.07908654e-01, 1.99999996e-02, 2.59175285e-04, 9.15254784e+00, 9.90284634e+00
-2.00000000e+00, 8.20886791e-01, 1.99999996e-02, 3.66263383e-04, 9.15250778e+00, 9.82374382e+00
-2.00000000e+00, 8.20886791e-01, -1.99999996e-02, 3.66263383e-04, 9.15250778e+00, 9.82374382e+00
-2.00000000e+00, 8.44534874e-01, 1.99999996e-02, 2.77898303e-04, 9.15249634e+00, 9.68461418e+00
-2.00000000e+00, 8.44534874e-01, -1.99999996e-02, 2.77898303e-04, 9.15249634e+00, 9.68461418e+00
-2.00000000e+00, 8.48676741e-01, 1.99999996e-02, 1.15051269e-04, 9.15245724e+00, 9.66054821e+00
-2.00000000e+00, 8.48676741e-01, -1.99999996e-02, 1.15051269e-04, 9.15245724e+00, 9.66054821e+00
-2.00000000e+00, 8.56040001e-01, 1.99999996e-02, 2.82068242e-04, 9.15238380e+00, 9.62110615e+00
-2.00000000e+00, 8.56040001e-01, -1.99999996e-02, 2.82068242e-04, 9.15238380e+00, 9.62110615e+00
-2.00000000e+00, 8.76883507e-01, 1.99999996e-02, 3.56709934e-04, 9.15219307e+00, 9.50858593e+00
-2.00000000e+00, 8.76883507e-01, -1.99999996e-02, 3.56709934e-04, 9.15219402e+00, 9.50858593e+00
-2.00000000e+00, 8.91711056e-01, 1.99999996e-02, 2.89580203e-04, 9.15221596e+00, 9.43901348e+00
-2.00000000e+00, 8.91711056e-01, -1.99999996e-02, 2.89580203e-04, 9.15221596e+00, 9.43901348e+00
-2.00000000e+00, 9.05841470e-01, 1.99999996e-02, 3.24099674e-04, 9.15219021e+00, 9.37362194e+00
-2.00000000e+00, 9.05841470e-01, -1.99999996e-02, 3.24099674e-04, 9.15219021e+00, 9.37362194e+00
-2.00000000e+00, 9.24121022e-01, -1.99999996e-02, 2.92251119e-04, 9.15242100e+00, 9.30617523e+00
