"Points:0","Points:1","Points:2","Pressure","Velocity:0","Velocity:1"
1.10557194e+01, 5.00000000e-01, 0.00000000e+00, 1.44682586e-01, 7.56448321e-03, 2.20032489e-05
1.10046940e+01, 4.65109736e-01, 0.00000000e+00, 1.52431175e-01, 1.16499710e+00, -2.26721575e-04
1.10051584e+01, 4.78397667e-01, 0.00000000e+00, 1.52341247e-01, 7.46039391e-01, -9.89952532e-05
1.10055609e+01, 4.89952415e-01, 0.00000000e+00, 1.52268842e-01, 3.59762251e-01, -9.79211291e-06
1.10059118e+01, 5.00000000e-01, 0.00000000e+00, 1.52210653e-01, 7.56423827e-03, 2.74263803e-05
1.09548254e+01, 4.65201110e-01, 0.00000000e+00, 1.60022050e-01, 1.16286349e+00, -3.28924216e-04
1.09553127e+01, 4.78454262e-01, 0.00000000e+00, 1.59931153e-01, 7.44713426e-01, -1.82827411e-04
1.09557362e+01, 4.89978731e-01, 0.00000000e+00, 1.59864008e-01, 3.59189272e-01, -7.27227452e-05
1.09561043e+01, 5.00000000e-01, 0.00000000e+00, 1.59807295e-01, 7.59977568e-03, 1.25798360e-05
1.09049568e+01, 4.65292484e-01, 0.00000000e+00, 1.67682081e-01, 1.16071081e+00, -3.02194094e-04
1.09054670e+01, 4.78510827e-01, 0.00000000e+00, 1.67658269e-01, 7.43351340e-01, -1.55706555e-04
1.09059105e+01, 4.90005046e-01, 0.00000000e+00, 1.67605624e-01, 3.58633220e-01, -7.75061853e-05
1.09062958e+01, 5.00000000e-01, 0.00000000e+00, 1.67552054e-01, 7.68365385e-03, -8.04843148e-06
1.08550873e+01, 4.65383887e-01, 0.00000000e+00, 1.75522879e-01, 1.15818763e+00, 7.48246384e-05
1.08556213e+01, 4.78567421e-01, 0.00000000e+00, 1.75491944e-01, 7.41589069e-01, 8.04058218e-05
1.08560848e+01, 4.90031362e-01, 0.00000000e+00, 1.75429970e-01, 3.57751489e-01, 3.62036335e-05
1.08564882e+01, 5.00000000e-01, 0.00000000e+00, 1.75370529e-01, 7.67956488e-03, -8.68431380e-06
1.08052187e+01, 4.65475261e-01, 0.00000000e+00, 1.83347106e-01, 1.15528274e+00, 2.58276705e-04
1.08057756e+01, 4.78623986e-01, 0.00000000e+00, 1.83238640e-01, 7.39449382e-01, 1.88026606e-04
1.08062592e+01, 4.90057677e-01, 0.00000000e+00, 1.83154762e-01, 3.56511950e-01, 9.98730538e-05
1.08066807e+01, 5.00000000e-01, 0.00000000e+00, 1.83086574e-01, 7.52476929e-03, 4.96834036e-06
