"step","downstreamPressureDiff_DP102_969.99999999999989_0.28_0.1815"
191000.0,-0.9022008776664734
192000.0,-0.9019437432289124
193000.0,-0.9013459086418152
194000.0,-0.9015271663665771
195000.0,-0.9017238616943359
196000.0,-0.9026247262954712
197000.0,-0.9018425941467285
198000.0,-0.9008669853210449
199000.0,-0.901678204536438
200000.0,-0.9018471240997314
201000.0,-0.9015692472457886
202000.0,-0.9013158082962036
203000.0,-0.901497483253479
204000.0,-0.9013935327529907
205000.0,-0.9012615084648132
206000.0,-0.901405930519104
207000.0,-0.9007911682128906
208000.0,-0.9012049436569214
209000.0,-0.9016284346580505
210000.0,-0.9014170169830322
211000.0,-0.9018353223800659
212000.0,-0.9015603065490723
213000.0,-0.9009667038917542
214000.0,-0.9010043144226074
215000.0,-0.9010427594184875
216000.0,-0.9011884927749634
217000.0,-0.9010811448097229
