"step","downstreamPressureDiff_DP112_909.99999999999989_0.76_0.2915"
187000.0,-0.2645087242126465
188000.0,-0.2717878818511963
189000.0,-0.274800181388855
190000.0,-0.2748579978942871
191000.0,-0.27461326122283936
192000.0,-0.2763636112213135
193000.0,-0.2687554359436035
194000.0,-0.27551376819610596
195000.0,-0.27916276454925537
196000.0,-0.27870726585388184
197000.0,-0.29315853118896484
198000.0,-0.2907133102416992
199000.0,-0.2887688875198364
200000.0,-0.2874603271484375
201000.0,-0.28747403621673584
202000.0,-0.291723370552063
203000.0,-0.2908130884170532
204000.0,-0.2941265106201172
205000.0,-0.2968379259109497
206000.0,-0.28840839862823486
207000.0,-0.2941615581512451
208000.0,-0.29222846031188965
209000.0,-0.2963680028915405
210000.0,-0.2965281009674072
211000.0,-0.3002746105194092
212000.0,-0.29987239837646484
213000.0,-0.29430079460144043
