"step","upstreamPressureDiff_DP106_489.99999999999994_0.49333333333333335_0.2255"
99000.0,-1.2365808486938477
100000.0,-1.2047691345214844
101000.0,-1.2010602951049805
102000.0,-1.2027997970581055
103000.0,-1.273369550704956
104000.0,-1.20819091796875
105000.0,-1.2334325313568115
106000.0,-1.2112483978271484
107000.0,-1.1810030937194824
108000.0,-1.2534327507019043
109000.0,-1.3467354774475098
110000.0,-1.2660553455352783
111000.0,-1.2459611892700195
112000.0,-1.2036325931549072
113000.0,-1.2308402061462402
114000.0,-1.215132713317871
115000.0,-1.291443109512329
116000.0,-1.1803410053253174
117000.0,-1.206165075302124
118000.0,-1.2186057567596436
119000.0,-1.2752010822296143
120000.0,-1.1483838558197021
121000.0,-1.1897220611572266
122000.0,-1.1382966041564941
123000.0,-1.1506233215332031
124000.0,-1.2115435600280762
125000.0,-1.167651653289795
126000.0,-1.1756839752197266
127000.0,-1.1436758041381836
128000.0,-1.2086896896362305
129000.0,-1.151658058166504
130000.0,-1.2353475093841553
131000.0,-1.1826233863830566
132000.0,-1.1438241004943848
133000.0,-1.4329466819763184
134000.0,-1.293290138244629
135000.0,-1.2058868408203125
136000.0,-1.1827950477600098
137000.0,-1.1606183052062988
138000.0,-1.1320762634277344
139000.0,-1.0824718475341797
140000.0,-1.1327457427978516
141000.0,-1.115628719329834
142000.0,-1.158766269683838
143000.0,-1.125889778137207
144000.0,-1.1609184741973877
145000.0,-1.2173097133636475
146000.0,-1.3251967430114746
147000.0,-1.1441118717193604
148000.0,-1.0920746326446533
149000.0,-1.0828955173492432
150000.0,-1.183084487915039
151000.0,-1.1448960304260254
152000.0,-1.100146770477295
153000.0,-1.134009838104248
154000.0,-1.0873260498046875
155000.0,-1.1302974224090576
156000.0,-1.1134099960327148
157000.0,-1.124732494354248
158000.0,-1.0963189601898193
159000.0,-1.2169616222381592
160000.0,-1.137868881225586
161000.0,-1.1118955612182617
162000.0,-1.092500925064087
163000.0,-1.1027917861938477
164000.0,-1.098191738128662
165000.0,-1.1041364669799805
166000.0,-1.1100349426269531
167000.0,-1.1063947677612305
168000.0,-1.2954864501953125
169000.0,-1.2380380630493164
170000.0,-1.1809420585632324
171000.0,-1.1583173274993896
172000.0,-1.122422695159912
173000.0,-1.1009631156921387
174000.0,-1.108577013015747
175000.0,-1.1285898685455322
176000.0,-1.0894403457641602
177000.0,-1.0850977897644043
178000.0,-1.1065397262573242
179000.0,-1.1459441184997559
180000.0,-1.1066241264343262
181000.0,-1.1179332733154297
182000.0,-1.0886597633361816
183000.0,-1.0861327648162842
184000.0,-1.1734356880187988
185000.0,-1.09782075881958
186000.0,-1.084986925125122
187000.0,-1.1026561260223389
188000.0,-1.0907483100891113
189000.0,-1.1487250328063965
190000.0,-1.1191058158874512
191000.0,-1.1044421195983887
192000.0,-1.0937094688415527
193000.0,-1.0498199462890625
194000.0,-1.0795836448669434
195000.0,-1.0870866775512695
196000.0,-1.205392599105835
197000.0,-1.152472972869873
198000.0,-1.121795415878296
199000.0,-1.1042625904083252
200000.0,-1.0941681861877441
201000.0,-1.1060919761657715
202000.0,-1.0939924716949463
203000.0,-1.1025395393371582
204000.0,-1.0944538116455078
205000.0,-1.0877177715301514
206000.0,-1.1871507167816162
207000.0,-1.125185489654541
208000.0,-1.1376430988311768
209000.0,-1.0993430614471436
210000.0,-1.0927951335906982
211000.0,-1.0991883277893066
212000.0,-1.093233585357666
213000.0,-1.237421989440918
214000.0,-1.2029621601104736
215000.0,-1.1584124565124512
